Date,Open,High,Low,Close,Adj Close,Volume
6/12/2017,36.470001,37.924999,35.5275,37.4925,37.076328,169753200
6/13/2017,38.599998,38.692501,36.412498,37.849998,37.429855,167250400
6/14/2017,37.880001,38.514999,37.125,37.93,37.508972,118464000
6/15/2017,36.740002,38.400002,36.625,38.092499,37.669662,96382400
6/16/2017,38.189999,38.674999,37.560001,37.904999,37.484249,92496000
6/19/2017,38.352501,39.3825,38.314999,39.330002,38.89344,77817600
6/20/2017,39.7575,40.435001,39.23,39.272499,38.836567,109544400
6/21/2017,39.552502,39.904999,38.924999,39.8675,39.424965,68265200
6/22/2017,39.950001,40.084999,39.349998,39.592499,39.153011,46913200
6/23/2017,39.669998,39.830002,38.305,38.4575,38.030617,108858800
6/26/2017,38.790001,39.150002,37.0825,38.037498,37.61528,106396000
6/27/2017,37.860001,37.947498,36.587502,36.645,36.238235,99949200
6/28/2017,37.330002,37.985001,36.4375,37.9375,37.516384,99494800
6/29/2017,37.650002,37.68,36.02,36.669998,36.262951,106442400
6/30/2017,36.845001,36.982498,35.875,36.139999,35.738838,73106000
7/3/2017,36.262501,36.412498,34.645,34.8325,34.44585,70907200
7/5/2017,35.474998,36.055,35.282501,35.762501,35.365528,82018800
7/6/2017,35.467499,36.345001,34.939999,35.869999,35.471836,74628400
7/7/2017,36.445,36.875,36.212502,36.689999,36.28273,65497200
7/10/2017,37.435001,38.5,37.169998,38.424999,37.998478,95849200
7/11/2017,38.462502,39.047501,38.037498,38.970001,38.537422,75795600
7/12/2017,39.575001,40.75,39.139999,40.627499,40.176525,114520800
7/13/2017,40.75,41.575001,39.6875,40.157501,39.711742,136913200
7/14/2017,40.322498,41.252499,40.252499,41.237499,40.779758,94194800
7/17/2017,41.5825,41.875,40.4375,41.0625,40.606709,93079200
7/18/2017,40.445,41.637501,40.325001,41.490002,41.029465,77664000
7/19/2017,41.5825,41.849998,41.1525,41.275002,40.816837,68704400
7/20/2017,41.482498,41.877499,40.977501,41.875,41.410179,69959600
7/21/2017,41.6675,42.325001,41.522499,42.025002,41.558521,64833200
7/24/2017,42.0975,42.195,41.43,41.537498,41.076424,65252400
7/25/2017,41.305,41.482498,40.895,41.337502,40.878651,49655600
7/26/2017,41.919998,42.482498,41.462502,41.814999,41.35083,64040400
7/27/2017,42.067501,42.185001,39.389999,40.435001,39.986156,78285600
7/28/2017,40.072498,41.345001,39.82,41.0975,40.641308,51334800
